,similarity
289,0.15432695600441182
290,0.15424863040096337
291,0.1537956572446051
292,0.15368305351949485
293,0.15345833623998328
294,0.15337270340499742
295,0.15295497405219383
296,0.15290077161504612
297,0.15267035092547343
298,0.1523000417876419
299,0.151748769657148
300,0.1500151785077315
301,0.1498566524127085
302,0.14954328477107293
303,0.14909153791541518
304,0.14878015520930998
305,0.14855857688091967
306,0.148430410551186
307,0.1477219753691852
308,0.1476003276203206
309,0.14673945844940772
310,0.14663427294645937
311,0.14586759585356535
312,0.14566806142546862
313,0.14535734984328896
314,0.1450759755592803
315,0.1445294214916113
316,0.14397572971778105
317,0.1439356593318497
318,0.14363587288464097
319,0.14276486144205935
320,0.14202456762258642
321,0.14177214265762195
322,0.14149847847566654
323,0.14135345203365768
324,0.1401991534799143
325,0.13982262390047584
326,0.13861684936984497
327,0.13844301820363203
328,0.1382931554221829
329,0.1379909699196724
330,0.13789557307923794
331,0.13699407713064504
332,0.1369118798362472
333,0.1364057847803033
334,0.13612638571758628
335,0.13560972853181985
336,0.13531844029367024
337,0.1349495891150394
338,0.13471364687436216
339,0.13359762462179914
340,0.13331119501929556
341,0.13266122663481772
342,0.1326141849245308
343,0.1325068210117606
344,0.13230164703437097
345,0.13222332193210007
346,0.13187506180646436
347,0.13138719214067374
348,0.13008795490403613
349,0.12996404983935594
350,0.12991752200473705
351,0.12966449858378803
352,0.12941398873372378
353,0.12867846091724378
354,0.12746982792802308
355,0.12731917708404605
356,0.127276545215101
357,0.12712566277071935
358,0.12658827522143623
359,0.12609598605667016
360,0.1249563610676272
361,0.12478503269496533
362,0.123913832773342
363,0.12390613229841785
364,0.12337767593017102
365,0.1231767719781185
366,0.12243591674722332
367,0.12186798259400167
368,0.12049308106645551
369,0.11888615527611734
370,0.11651297540974959
371,0.1156987690121638
372,0.11501701711302781
373,0.11459397266580251
374,0.11375011615020258
375,0.11224548729189388
376,0.11174974277742211
377,0.1117028524217063
378,0.11089018497455005
379,0.11086627479272915
380,0.1105763204456105
381,0.11013749371722126
382,0.10992634897413489
383,0.10902300811977983
384,0.10899572266317548
385,0.10846473948606317
386,0.10811772172031464
387,0.10787603308093252
388,0.10689897840916718
389,0.106459172731314
390,0.10570807705550234
391,0.1053894076035955
392,0.10520888480279833
393,0.10502225611088045
394,0.10427227481087398
395,0.10422992394705966
396,0.10330295984641036
397,0.10323566837043319
398,0.10224503125651152
399,0.10151878802268954
400,0.10147832354544772
401,0.10126938544549446
402,0.10083078021660752
403,0.10080080315903062
404,0.09936031084277741
405,0.0981229708655802
406,0.09784740753939758
407,0.09760513226962009
408,0.09758256349491834
409,0.09675910368270535
410,0.0967151502540684
411,0.0962723070852376
412,0.0962035262813914
413,0.09530656817800875
414,0.0946385771384608
415,0.09426789998854934
416,0.09422154885238454
417,0.09363595680887493
418,0.09351450473547218
419,0.09326460695679417
420,0.0932159389492635
421,0.09291005588480461
422,0.09276479211985489
423,0.09266860635961893
424,0.09238862259087788
425,0.0922922468773486
426,0.09167562569598786
427,0.09105402136146168
428,0.09084693168451419
429,0.08994714598042886
430,0.0895988887209278
